id	local_path	size_bytes	sha256	url	license
libreoffice-2col-header	docx/libreoffice/libreoffice-2col-header.docx	17060	01ee36c8a1f2ea9e0082c2a6a46f435657a317cd0b14365eb3e171361cb5d348	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/2col-header.docx	MPL-2.0
libreoffice-3columns	pptx/libreoffice/libreoffice-3columns.pptx	39915	e639064968d29c4cf5cc3ad4dae28e825ec9d2567ae78aac895c870e91170d71	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/3columns.pptx	MPL-2.0
libreoffice-3d-reference	xlsx/libreoffice/libreoffice-3d-reference.xlsx	9455	5da77691d9c554727e0cc0e47397822ae892d65a85b012c47375860ab5a551f6	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx	MPL-2.0
libreoffice-99-fields	docx/libreoffice/libreoffice-99-fields.docx	15788	957a5a8cc989cd3183e89cda91a03a9bad78c2102c36f2d99c7d7c8812428a92	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/99_Fields.docx	MPL-2.0
libreoffice-a019-min	docx/libreoffice/libreoffice-a019-min.docx	15478	47ffa39ad5266b1cdadf60500f1e2c082469d3be6694d2ed2aa76446d80feb6e	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/A019_min.docx	MPL-2.0
libreoffice-a4andborders	docx/libreoffice/libreoffice-a4andborders.docx	10014	8a95e99b880d510dc782294ddab5bcb28a41420509e67efc184075a227629c2e	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/a4andborders.docx	MPL-2.0
libreoffice-abi11739	docx/libreoffice/libreoffice-abi11739.docx	11635	382c278c7193ca4663ca3e50ae485c09e7912bbed8dc89293f0783a62ddd6c21	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/abi11739.docx	MPL-2.0
libreoffice-absolute-link	docx/libreoffice/libreoffice-absolute-link.docx	10533	d6c57eeba58327f2c6d9a867fb15e689ddc00fa9f303c630797a5aa66efd8995	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/absolute-link.docx	MPL-2.0
libreoffice-accent-color	pptx/libreoffice/libreoffice-accent-color.pptx	1079347	c26ba332cc3254efaf1a974fc2cdfc7f867467d9d5d583427454d426422eca9f	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/accent-color.pptx	MPL-2.0
libreoffice-activex-checkbox	docx/libreoffice/libreoffice-activex-checkbox.docx	13851	0bd0b82e7deef81334dfbfe0cfdf2c27b2e99a9b4c7062b495b1af09dac119a2	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sw/qa/extras/ooxmlexport/data/activex_checkbox.docx	MPL-2.0
libreoffice-activex-checkbox-2	xlsx/libreoffice/libreoffice-activex-checkbox-2.xlsx	12433	021ad659a782b7dd04cac6b056e897cbc87aecf61fda91a3f6ca37da36ac6b1d	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	MPL-2.0
libreoffice-activex-checkbox-3	pptx/libreoffice/libreoffice-activex-checkbox-3.pptx	39828	9d366c0627b0c0af5c643a7c3b1d02983c9752d28f6d26b86a2a7568e08b0888	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_checkbox.pptx	MPL-2.0
libreoffice-activex-combobox	pptx/libreoffice/libreoffice-activex-combobox.pptx	39414	dc480ae4daf624c01a85e18289df887000026971b5b4ccb08e01e0e54446ff3a	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_combobox.pptx	MPL-2.0
libreoffice-activex-commandbutton	pptx/libreoffice/libreoffice-activex-commandbutton.pptx	39860	d5ff16a329d9a26acfb566fea12de5b6b54194b563e89d9a3215833a735a327d	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_commandbutton.pptx	MPL-2.0
libreoffice-activex-fontproperties	pptx/libreoffice/libreoffice-activex-fontproperties.pptx	48562	e7abc715868b10101b6b056f0262a69cb993de7fee5aca00f15b7f49e7061b90	https://raw.githubusercontent.com/LibreOffice/core/dd2838cc25c38327617bb9d3b2d9b9c72b893828/sd/qa/unit/data/pptx/activex_fontproperties.pptx	MPL-2.0
